name	officenumber	dir
Anti-Infective Program	258-5944	nicu
Anti-Microbial Program	258-5944	nicu
Antibiotic Approval	258-5944	115
Antibiotic Management Prgm (ID Pharm)	258-5944	115
Antidepressants (HELP)	265-4357	nicu
Antitrypsin Gene Research Study ( Ped Pulmonary )	273-8380	115
Antitrypsin ( Info )	846-2701	nicu
Antitrypsin ( Screening )	392-6666	115
Anus GI(Gastro-Intestinal)	273-9400	115
Anxiety (HELP)	265-4357	
Anxiety Disorders (HELP)	265-4357	nicu
AOD (Medicine)	413-4587	it
AOD - Pain - South Tower	260-7638	it
AOD - Pain - North Tower	494-4990	it
APDG - Advanced Pratice General Denistry	273-7915	
Appointments - General	265-5555	
ARB Building (info for renting)	392-2623	it
Archer Family Care FAX	352-495-3401	nicu
Archer Family Care	495-2550	
Area Health Education Center	392-0030	nicu
Arthritis Clinic (Return Patients)	265-0139	nicu
Arthritis Dept(new patients)	352-294-8200	
Artificial Insemination(admin office)	392-4160	nicu
Artificial Insemination (clinic)	265-6200	
Arts in Medicine Rm 1302.2 Bldg P04	733-0880	115
Asperger`s Disorder (HELP)	265-4357	115
Assistance on Medical help(Hurricane) Red Cross	866-438-4636	nicu
Asthma Research Lab (not patient care)	392-9086	
Asthma Research Lab	273-6183	nicu
Athletic Association ( Ticket )	(800) 344-2867	
Athletic Assoiation (x 6800)	375-4683	115
Attention - Deficit/Hyperactivity Disorder (HELP)	265-4357	it
Attention Deficit Disorder (ADD) (HELP)	265-4357	nicu
Attention Deficit Disorder (ADHD)	334-0228	nicu
Attention Deficit Hyperactivity Disorder (ADHD) (HELP)	265-4357	
Attorney	(352) 733-0030	
Audiology (Speech & Hearing)	273-5555	
Audiology - Park Ave	294-5151	nicu
Audio Visual Services - AV Check-Out	273-5057	115
Audio Visual Services - Communicore Lecture Halls	392-3780	nicu
Audio Visual	273-5057	
Auditor	265-7969	115
Autism, Center for - Fax	846-0941	it
Autism, Center for	846-2761	it
Autism - Children (Child Psychiatry) (HELP)	265-4357	nicu
Autistic Disorder (HELP)	265-4357	it
Autopsy	273-5900	nicu
Auto Attendant - Starke	904-368-2300	it
Auxiliary (Volunteer) Services 	265-0360	it
Avant-Garde Salon - P04 	376-0037	nicu
Ayers/ Florida Healthcare Credit Union 	381-0222	nicu
Ayers - Deli 	273-2600	
Ayers - Diagnostic Lab/Center 	733-0070	
Ayers - Dialysis (Gville Kidney Center East) - Fax 	335-4112	
Ayers - Dialysis (Gville Kidney Center East) 	335-1751	
Ayers - Hematology/Oncology-Florida Cancer Specialists 	373-0933	
Ayers - Hematology/Oncology - Fax 	377-5215	
Ayers - Pediatric Surgery Center - FAX 	733-0067	
Ayers - Pediatric Surgery Center 	733-0065	
Ayers - Peds GI Colonoscopy 	733-0065	
Ayers - Plaza Pharmacy 	733-0090	
Ayers Diagnostic Imaging - MRI - FAX 	733-0026	
Ayers Diagnostic Lab - FAX 	733-0071	
Ayers Imaging 	265-0104	
Ayers Materials Managment 	733-0080	
Ayers MRI 	7-0522	
Ayers Pathology Lab - out patient 	733-0070	
Ayers Pediatric Clinic 	(352) 265-8250	
Ayers Peds Gastrology Dept. 	273-9350	
Ayers Plaza - Pharmacy - FAX 	733-0098	
Ayers Plaza - Pharmacy 	733-0090	
Ayers Security - back up 	258-4519	
A Point of Care - Lab Coordinator 24/7 	352-256-7031	
Baby Cremains - inhouse fetal deaths only 	4-6539	
Baby Gator 	392-2330	
Bacteriology 	265-0165	
Badge Replacement Fax 	265-7218	
Badge replacement fax 	5-7218	
BAKER,CHARLES EXT:4 HC DEPT:3523922235 		it
Baker Act 	265-5481	nicu
Bar-Medicaid supervisor 	8-5309	nicu
BARGER,ROYA MRS. EXT:4208 HC DEPT:3523921161 		
Bariatric Surgery - Dr Ben-David 	(352) 265-4226	
Bar - Billing UF Physicians 	265-7906	
BASA,PATRICIA Mrs. EXT:45144 HC DEPT:3522738317 		
BAUTISTA,MIHO EXT:6077 HC DEPT:3523761611 		
BAXLEY,CHRISTINE Ms. EXT:40563 HC DEPT:3522659470 		
BAYNE,ASHLEY Mrs. EXT:48969 HC DEPT:3522650680 		
BEACHBOARD,SARAH MS. EXT:806 HC DEPT:3522944106 		
BEAULIEU,REBECCA EXT:87829 HC DEPT:3522650680 		
Bed Control - days (24hrs/7days) 	265-0233	
Bed Control - Fax 	265-0280	
Bed Control P04 	2-8840	
Bed Man (after 11:30pm) 	413-6001	
Bed Man Mon - Fri 	413-5961	
Bed man (Melvin Brown) 	413-5980	
Bed Man 	494-4862	
Bed Tower - VA Veterans Hsopital 	(352) 548-6000	
BEGUIRISTAIN,JENNIFER Ms. EXT:47555 HC DEPT:3522650680 		
Behavioral Hospital 	265-5481	
Behavior Health 	(352) 392-3611	
Behavior problems 	265-5481	
Bell South 	866-321-6716	
Benefits ( back line ) 	4-7399	
Benefits - fax 	265-1058	
Benefits - Fax 	265-7947	it
Benefits back line 	4-7399	nicu
Benefits for Residents 	273-5077	nicu
Benefits (W-2 forms) 	5-7568	
Benefits 	265-0043	
BENHAM,WAYNE Mr. EXT:4202 HC DEPT:3523921161 		
BERENS,THOMAS DR. EXT:217 HC DEPT:3523924541 		
BERRY,ELIZABETH MRS. EXT:4820 HC DEPT:3523924700 		
BESSENT,LISA MS. EXT:4000 HC DEPT:3523924700 		
Bile Duct ( Center for Hepatobiliary Disease ) 	265-0606	
Billing & Collections M-F 8:30a-4:30p 	265-0355	
Billing & Collections 	800-342-5364	
Billing (xfer insurance companies to this line) 	265-0697	
Billing - Fax 	265-9011	
Billing - University Physicians 	265-7906	
Billing Address (4024 NW 22ND Drive )off 39th 32605 	265-0355	
Billing Adminstration 	352-265-9022	
Binge Eating (HELP) 	265-4357	
Bio-Chemistry - Stockroom 	392-3307	
Bio-Chemistry 	392-3361	
Bio-Engineering 	265-0089	
Bio-Medical Media Services - Accts Payable/Purchasing 	392-4146	
Bio-Medical Media Services - Business Manager 	392-4147	
Bio-Medical Media Services - Copy Center 	273-5350	
Bio-Medical Media Services - Fax 	392-4156	
Bio-Medical Media Services - Front Desk/Director 	273-5044	
Bio-Medical Media Services - Graphics 	273-5044	
Bio-Medical Media Services - Radio-TV/Film Coord. 	392-4143	it
Bio-Systems ( Sharps disposal ) 	(904) 716-5630	nicu
Biochemistry & Molecular Biology - Fax 	392-2953	nicu
Biochemistry & Molecular Biology 	392-3361	
Bioethics, Law & Medical Professionalism - Fax 	273-5213	
Bioethics, Law & Medical Professionalism 	273-5155	
Biopsy ( Breast ) Park Ave Imaging 	(352) 265-0000	
Biostatistics, Department of (Fax) 	352-294-1930	
Biostatistics, Department of 	352-294-1925	
Bio Feedback (Clinical Psych) 	265-0294	
Bipolar (HELP) 	265-4357	
Bipolar Disorder 	265-5481	
Birth Certificates (Alachua Cty.Health Dept.) 	334-7900	
Birth Certificates (inhouse-Mother Baby) 	265-0035	
BISHOP,KEVIN Ms. EXT:40256 HC DEPT:3522656200 		
Black,David(Private ofc-own answering service) 	376-7751	
Bladder GU(Genital-Urinary)Oncology Center 	(352) 265-8282	
BLENCO,BETTY MRS. EXT:4930 HC DEPT:3523921161 		
Blind Services - Toll free 	800-443-0908	
Blind Services 	955-2075	
Block Room - P04 	3-1142	
Blood Bank - Fax 	265-0320	
Blood Bank Bldg P04 	733-0900	
Blood Bank FAX Rm G110.3 Bldg P04 	733-1346	
Blood Bank Supervisor Hotline 	352-733-0900	
Blood Bank Supervisor On Call 	352-260-3358	
Blood Bank 	733-0900	
Blood Draw - Blood draw 	(386) 362-0860	it
Blood Exposures-Employees- Aft.Hrs/Weekends PAGE Nurse AD 	413-3498	nicu
Blood Exposures-Employees- M-F 7am-5pm 	265-0250	nicu
Blood Gas Lab 	265-0199	
Blue Gill 	(352) 872-5181	
Blue Roof - CMS or Main Street Clinic 		
BMTU 	265-0042	
BOC ( Engineering ) 	265-0935	
Bodies to Science - Anatomical Board- DAYS 	392-3588	
Bodies to Science - Anatomical Board - AFTER HRS & WKENDS 	379-4742	
Body Fluid Exposures- Employees Aft.Hr/WkEnd PAGE NurseAD 	413-3498	
Body Fluid Exposures - Employees M-F 7am-5pm 	265-0250	
Body Release 0700-1700 M-F ADTU 	265-0930	
Body Release 1700-0700 M-F Aft.Hrs 	494-5795	
Body release after hrs 7PM-7AM Mon - Sun 	225-7474	
Body Release Baby Cremains-inhouse fetal deaths only 	4-6539	
Body Release BACKUP only-Lead Nursing Coord 	494-5740	
Body Release Information after 7pm 24/7 	225-7474	
Body Release Weekends & Holidays all day 	494-5795	
Body Scan 	4-4362	
Bone & Soft Tissue Sarcoma 	273-7195	
Bone Bank 	273-7002	
Bone Bank 	1053	
Bone Density Testing 	265-0104	
Bone Density Testing 	265-6200	
Bone Marrow & Stem Cell Transplant 	3-0972	
Bone Marrow ( Coordinator ) 	3-0972	
Bone Marrow - Peds outpaient 	4-9677	it
Bone Marrow Clinic (outpatient) 	3-0972	nicu
Bone Marrow Lab/Purging Lab 	265-0232	nicu
Bone Marrow Peds unit 42 inpatient 	265-0042	
Bone Marrow Transplant Hematology Oncology Center 	(352) 265-0725	
Bone Marrow Unit (inpatient) 	3-0971	
Bookstore - Fax -In hospital 	392-9751	
Bookstore - In Hospital 	352-627-9230	
Bookstore - Reitz Union 	392-1630	
Botox - Movement Disorder 	294-5000	
Bowers Lab(3rd floor in Brain Institute building) 	392-3450	
BOZORGMEHRI,SHAHAB EXT:6802 HC DEPT:3522715000 		
Bradford County Jail 	904-966-6250	
Bradford Medical Group 	904-368-2343	
Brain & Spine Tumors 	273-9000	
Brain Institute/Clinic-Main line 	273-8500	
Brain Preston A Wells Jr.Center for Brain Tumor Therapy 	(352) 273-9000	
Brain Stimulation (HELP) 	265-4357	
Brain Stimulation 	273-9000	
Brain Tumors (Neurosurgery) 	273-9000	
BRASINGTON,ALLEN DR. 	(352) 333-5242	
Breach Of Privacy 	(877) 552-1299	
Breast (physcians appt.requests) 	265-7070	
Breast ( Breast Center ) 	(352) 265-7070	
Breast Center Coordination Office 	265-7070	
Breast Center 	265-7070	
Breast Related Calls 	265-7070	
Breast 	265-7070	it
Bridge House 	374-5615	nicu
Bronchoscopy 	265-0275	nicu
Bronhoscopy 	413-9189	
BROWN,KRISTY MS. EXT:14224 HC DEPT:3523921161 		
BROWN,LISA MS. EXT:4312 HC DEPT:3523921161 		
BROWN,TRUDENCE MS. EXT:72061 HC DEPT:3522659900 		
BRYANT,PATRICE EXT:86303 HC DEPT:3522658053 		
Budget & Planning - Health Center 	392-2764	
Budget & Planning - Shands 	265-7965	
Bulimia (HELP) 	265-4357	
Burigo Jean 	(888) 836-1195	
Burn Clinic -Adults (0900-1600 M-F) 	4-3702/58932	
Burn Clinic - Peds 	265-8800	
Burn Unit (may ring 24 hrs - 7 days) 	265-0200	
Burn Unit Operating room 	4-3704	
Burn Unit Waiting 	4-5174	
Business Development 	352-733-0333	
Business Office - Live Oak 	386-362-0855	
Business Related Services 	265-0355	
Butler Building 	265-0495	
BYRD III,JAMES EXT:7611 HC DEPT:3523761611 		
C-PEC ( ER ) 	2-8920	
Cafeteria Market South Tower P04 	371-0580	
Call Center - fax 	265-7085	
CAMPBELL,ANTHONY EXT:216 HC DEPT:3526222913 		
Campus Credit Union 	335-9090	
Cancer - Children`s Cancers 	392-5633	it
Cancer - Lymphoma 	265-0725	nicu
Cancer - Pediatric Hematology Oncology 	273-9120	nicu
Cancer - Radiation Oncology 	265-0287	
Cancer - Surgical Oncology 	265-0535	
Cancer - Survivor Program 	273-8021	
Cancer Appointment Information 	352-273-8010	
Cancer Appointment Information 	(888) 742-6378	
Cancer Center - Administration ( No Patients calls ) 	352-273-8010	
Cancer Clinical Trials/Research 	352-273-8675	
Cancer Davis Pavilion - Hematology/Oncology (Adult) 	265-0725	
Cancer Davis Pavilion - Information desk 	8-7882	
Cancer Davis Pavilion - Lab (2nd floor) - Fax 	265-0734	
Cancer Davis Pavilion - Lab (2nd floor) 	265-0722	
Cancer Davis Pavilion - Lab 	8-7839	
Cancer Davis Pavilion - Pediatric Clinic Fax 	265-0729	
Cancer Davis Pavilion - Physical Therapy 	265-7036	
Cancer Davis Pavilion - Radiation Oncology Clinic - Fax 	265-0546	
Cancer Davis Pavilion - Radiation Oncology Clinic 	265-0316	
Cancer Davis Pavilion - Radiation Oncology Dept Fax 	265-0759	
Cancer Davis Pavilion - Radiation Oncology Dept 	265-0287	
Cancer Davis Pavilion - Security 	8-9046	
Cancer Davis Pavilion Dietary 	8-7686	
Cancer Davis Pavilion Pharmacy (Second Floor) - Fax 	265-0682	
Cancer Davis Pavilion Pharmacy (Second Floor) 	265-0720	
Cancer Genetics Program-Fax 	352-265-8404	
Cancer Genetics Program 	8-9157	
Cancer Lab 	273-8184	it
Cancer Referral Line 	352-273-8010	nicu
Cancer Research Bldg. 	273-8010	nicu
Cancer Research Trials 	273-8313	
Cancer Resource Center Bldg P04 	733-0916	
Cancer South Tower 1515 SW Archer Rd 32608 		
Candy Striper 	265-0360	
Cannabbis - ise disorder 	265-4372	
CANTWELL,SHAUNA DR. EXT:5654 HC DEPT:3523924700 		
Capital Funds Management 	265-7964	
CARDIACC - CATH LAB 	265-0119	
Cardiac And Vascular Diagnostics - EKG & all other studies 	265-0047	
Cardiac Catherization Lab - Fax 	265-0314	
Cardiac Catherization Lab 	265-0119	
Cardiac Cath Waiting Room 	5-0119	
Cardiac Functions 	265-0047	
Cardiac Stress Test 	265-0047	
Cardiogram Lab - Echo 	265-0047	
Cardiology- new patient scheduling 	265-0457	
Cardiology- Return Patient Appts. 	265-0457	
Cardiology @ Old Town UF Clinic 	352-542-1723	
Cardiology @ Starke UF Clinic 	904-368-8180	
Cardiology at Springhill - 8600 NW 39 Ave 2nd Floor 	265-0820	
Cardiology at Springhill - fax 	265-0823	
Cardiology at Springhill - Lab - Fax 	594-1774	
Cardiology at Springhill - Lab 	594-1740	
Cardiology at Springhill - Nurse - Fax 	594-1773	
Cardiology at Springhill - Nurse Back Line 	594-1778	it
Cardiology Dept 	352-273-9065	nicu
Cardiology Invest Program - Fax 	392-6805	nicu
Cardiology Invest Program 	846-0716	
Cardiology Pediatric Clinic 	273-7770	
Cardiothoracic Surgery 	265-5470	
Cardiovascular Center of Excellence 	800-552-0215	
Cardiovascular Center of Excellence 	265-0156	
Cardiovascular Clinic - 1 st Flr. 	265-0457	
Cardiovascular Clinic - Fax 	265-0122	
Cardio Options - Jax 	904-268-6679	
Cardio Pulmonary Clinic 	265-0139	
CARD center (autism) 	273-0581	
CareOne-Patient App.Shands 7th Flr- NOT A WALK IN CLINIC 	733-2273	
CareOne-RESTRICTED not patient calls/Dr's, In-house calls 	594-2866	
Care One-Patient Appt.Shands 7th Flr- NOT A WALK IN CLINIC 	733-2273	
Care One-RESTRICTED-NO PATIENT CALLS-Shands 7th Flr 	594-2866	
Care Spot - Ocala 	352-237-3536	
Care Spot 2415 SW College Rd Ocala M-F 8a-8p Sat-Sun	8a-5p352-237-3536	
Care Spot 3925 NW 43rd St. Mon-Sun 8am-8pm 	352-371-1777	
Care Spot Express 2nd Ave. M-F 8am-8pm, Sat & Sun 8am-5pm 	240-8000	
Care Spot Express 720 SW 2nd Ave Suite 160A 	240-8000	
Care Spot Express Urgent Care (Ayers)Formly Solantic 	(352) 240-8000	
Carousel Pharmacy Stores P04 	2-9587	
Cars (Reserved State Cars MSB) 	392-2623	
Case Management Fax 	265-0469	
Case Management 	352-265-0224	
Cashier - P04 	2-8884	it
Cashier 	4-4500	nicu
Cast Room 	273-7001	nicu
Cath lab ( EP ) 	4-6682	
Cath lab ( EP ) 	4-6921	
Cath Lab Holding 	4-6333	
Cath lab 	265-0119	
CCM North Campus 82 Neuro & Burn (Critical Care Medicine)	352-745-1912	
CCM South Campus 4E (Critical Care Medicine - Anesthesia)	352-260-7177	
CCM South Campus 4W (Critical Care Medicine - Anesthesia)	352-494-9189	
CCU on 2nd Floor 	265-0696	
CDC North & South Tower 	265-0203	
Celebration Health (Orlando) 	407-303-4000	
Center for Autism and Related Disabilities 	273-0581	
Center for Disease Control 	888-232-3228	
Center for Taste and Smell 	294-0199	
Center of Exercise and Sports Science 	392-0584	
Center of Research of Women's Health 	392-9000	
Central Business Office 	264-7875	
Central Distribution Center North & South Tower 	265-0203	
Central Distribution Center Restricted Back-Line 	4-4611	
Central Nervous System Center for brain Therapy 	(352) 273-9000	
Central Processing 	392-4621	
Central Staffing (Administration only ) 	265-0188	
Central Staffing (North & South Campus) 	733-0904	
Central Staffing (Nurse calls) 	265-0216	
Central Staffing FAX Rm G152.1 Bldg P04 	733-1344	
Central Sterile Supply P04 	2-7243	it
Central Sterile Supply 	265-0277	nicu
CEO - Jimenez Edward 	352-733-1500	nicu
Cerebral Palsy (Adult Neurology) 	265-8408	
Cerebral Palsy Clinic 	273-7001	
Cerebral Palsy Services 	7-8552	
Cervix Gynecologic Oncology Center 	(352) 273-7555	
CH2M Hill Bldg - transfer calls to the EBOC 	352-265-0465	
Chairman Of Medicine ( Robert Hromas ) 	413-1456	
CHANCEY,NANCY MS. EXT:72092 HC DEPT:3522650680 		
CHAPEL-NO.T-NEAR CAFETERIA RM 1211-SEE ONCALL SERV TIMES 		
Chaplain - Pastoral Services 	352-265-0224	
Charge Control & Processing 	392-2713	
Charity Care - Assistance with Physician - Clinic 	265-7906	
Charity Care Register 	265-7906	
Charity Care (tollfree) 	877-265-7213	
Charlies Corner 	4-6060	
Chaudhry, Naueen 	352-594-3589	
Chemistry Lab Rocky Point 	7-2202	
Chemistry 	4-4869	
Chemo - IV - P04 	733-0889	
Chemo Pharmacy - 7th flr - P04 	4-3396	
Chemo Pharmacy - Medical Plaza 2nd flr 	265-0720	
Chemo Therapy Clinic 	265-0725	
